station_id,city,province
STN_一二九公里,天津市,天津市
STN_一四一所,重庆市,重庆市
STN_一步滩,宜宾市,四川省
STN_一间堡,长春市,吉林省
STN_一面坡,哈尔滨市,黑龙江省
STN_一面坡北,哈尔滨市,黑龙江省
STN_一面山,丹东市,辽宁省
STN_丁家园,长春市,吉林省
STN_七台河,七台河市,黑龙江省
STN_七台河西,七台河市,黑龙江省
STN_七宝,上海市,上海市
STN_七泉湖,吐鲁番市,新疆维吾尔自治区
STN_七甸,昆明市,云南省
STN_七苏木,乌兰察布市,内蒙古自治区
STN_七营,中卫市,宁夏回族自治区
STN_七道桥,唐山市,河北省
STN_七里河,锦州市,辽宁省
STN_七间房所,北京市,北京市
STN_七龙星,重庆市,重庆市
STN_万乐,哈尔滨市,黑龙江省
STN_万发屯,哈尔滨市,黑龙江省
STN_万宁,万宁市,海南省
STN_万安县,吉安市,江西省
STN_万宝镇所,娄底市,湖南省
STN_万家屯,葫芦岛市,辽宁省
STN_万州,重庆市,重庆市
STN_万州北,重庆市,重庆市
STN_万年,上饶市,江西省
STN_万庄,廊坊市,河北省
STN_万水泉,包头市,内蒙古自治区
STN_万水泉南,包头市,内蒙古自治区
STN_万源,达州市,四川省
STN_万荣,,
STN_万象,,
STN_三义井,赤峰市,内蒙古自治区
STN_三义村,西安市,陕西省
STN_三井子,松原市,吉林省
STN_三亚,三亚市,海南省
STN_三元区,三明市,福建省
STN_三元坝,遵义市,贵州省
STN_三元西,三明市,福建省
STN_三关口,固原市,宁夏回族自治区
STN_三十家,朝阳市,辽宁省
STN_三十里堡,大连市,辽宁省
STN_三十里铺,合肥市,安徽省
STN_三原,咸阳市,陕西省
STN_三台,沈阳市,辽宁省
STN_三合庄,北京市,北京市
STN_三堂集,阜阳市,安徽省
STN_三堆子,攀枝花市,四川省
STN_三家子,通辽市,内蒙古自治区
STN_三家寨,六盘水市,贵州省
STN_三家店,北京市,北京市
STN_三岔湖,成都市,四川省
STN_三岔镇,忻州市,山西省
STN_三平,廊坊市,河北省
STN_三把火,赤峰市,内蒙古自治区
STN_三明,三明市,福建省
STN_三明北,三明市,福建省
STN_三星堆,德阳市,四川省
STN_三桥,西安市,陕西省
STN_三水,佛山市,广东省
STN_三水北,佛山市,广东省
STN_三水南,佛山市,广东省
STN_三汇坝,重庆市,重庆市
STN_三汇镇,达州市,四川省
STN_三江,重庆市,重庆市
STN_三江南,柳州市,广西壮族自治区
STN_三江县,柳州市,广西壮族自治区
STN_三江口,铁岭市,辽宁省
STN_三江镇,南昌市,江西省
STN_三河县,廊坊市,河北省
STN_三源浦,通化市,吉林省
STN_三灶东,珠海市,广东省
STN_三眼桥,佛山市,广东省
STN_三穗,黔东南苗族侗族自治州,贵州省
STN_三花石,汉中市,陕西省
STN_三营,固原市,宁夏回族自治区
STN_三道堰,成都市,四川省
STN_三道湖,白山市,吉林省
STN_三道营,乌兰察布市,内蒙古自治区
STN_三都县,黔南布依族苗族自治州,贵州省
STN_三门县,台州市,浙江省
STN_三门峡,三门峡市,河南省
STN_三门峡南,三门峡市,河南省
STN_三门峡西,三门峡市,河南省
STN_三间房,齐齐哈尔市,黑龙江省
STN_三队,白山市,吉林省
STN_三阳,黄山市,安徽省
STN_三阳川,天水市,甘肃省
STN_上万,北京市,北京市
STN_上仓,天津市,天津市
STN_上关,大理白族自治州,云南省
STN_上园,朝阳市,辽宁省
STN_上安,石家庄市,河北省
STN_上店,赤峰市,内蒙古自治区
STN_上普雄,凉山彝族自治州,四川省
STN_上杭,龙岩市,福建省
STN_上板城,承德市,河北省
STN_上板城南,承德市,河北省
STN_上格达,攀枝花市,四川省
STN_上海,上海市,上海市
STN_上海南,上海市,上海市
STN_上海松江,上海市,上海市
STN_上海虹桥,上海市,上海市
STN_上海西,上海市,上海市
STN_上腰墩,武威市,甘肃省
STN_上虞,绍兴市,浙江省
STN_上虞南,绍兴市,浙江省
STN_上街,郑州市,河南省
STN_上西铺,六盘水市,贵州省
STN_上谷,承德市,河北省
STN_上郭关所,贵阳市,贵州省
STN_上饶,上饶市,江西省
STN_上高镇,泰安市,山东省
STN_下仓,天津市,天津市
STN_下初,威海市,山东省
STN_下台子,承德市,河北省
STN_下坑子,赤峰市,内蒙古自治区
STN_下城子,牡丹江市,黑龙江省
STN_下塘,百色市,广西壮族自治区
STN_下夹河所,鞍山市,辽宁省
STN_下小岔,定西市,甘肃省
STN_下普雄,凉山彝族自治州,四川省
STN_下板城,承德市,河北省
STN_下社,忻州市,山西省
STN_下花园,张家口市,河北省
STN_下花园北,张家口市,河北省
STN_下辛店,孝感市,湖北省
STN_下马塘,本溪市,辽宁省
STN_不冻泉,玉树藏族自治州,青海省
STN_且末,巴音郭楞蒙古自治州,新疆维吾尔自治区
STN_丙谷,攀枝花市,四川省
STN_东丰,辽源市,吉林省
STN_东丰北,辽源市,吉林省
STN_东乡,抚州市,江西省
STN_东二道河,佳木斯市,黑龙江省
STN_东京城,牡丹江市,黑龙江省
STN_东佳木斯,佳木斯市,黑龙江省
STN_东元庆,晋城市,山西省
STN_东光,沧州市,河北省
STN_东兴,包头市,内蒙古自治区
STN_东兴市,防城港市,广西壮族自治区
STN_东升,中山市,广东省
STN_东升坝,重庆市,重庆市
STN_东华所,成都市,四川省
STN_东南营子,赤峰市,内蒙古自治区
STN_东口,宝鸡市,陕西省
STN_东台,盐城市,江苏省
STN_东土城,巴彦淖尔市,内蒙古自治区
STN_东坡,晋城市,山西省
STN_东城南,东莞市,广东省
STN_东大坝,承德市,河北省
STN_东孝所,金华市,浙江省
STN_东安,永州市,湖南省
STN_东安东,永州市,湖南省
STN_东富,吉林市,吉林省
STN_东山,海西蒙古族藏族自治州,青海省
STN_东岔,天水市,甘肃省
STN_东庄,忻州市,山西省
STN_东戌,邯郸市,河北省
STN_东戴河,秦皇岛市,河北省
STN_东方,东方市,海南省
STN_东方红,鸡西市,黑龙江省
STN_东明县,菏泽市,山东省
STN_东明村,通辽市,内蒙古自治区
STN_东村所,南昌市,江西省
STN_东来,通辽市,内蒙古自治区
STN_东沟门,朝阳市,辽宁省
STN_东津,绥化市,黑龙江省
STN_东津所,襄阳市,湖北省
STN_东海,鸡西市,黑龙江省
STN_东海县,连云港市,江苏省
STN_东淤地,忻州市,山西省
STN_东港北,丹东市,辽宁省
STN_东湖,沈阳市,辽宁省
STN_东湾,白银市,甘肃省
STN_东环,广州市,广东省
STN_东田良,长治市,山西省
STN_东胜,鄂尔多斯市,内蒙古自治区
STN_东胜东,鄂尔多斯市,内蒙古自治区
STN_东胜西,鄂尔多斯市,内蒙古自治区
STN_东至,池州市,安徽省
STN_东花园,张家口市,河北省
STN_东花园北,张家口市,河北省
STN_东莞,东莞市,广东省
STN_东莞东,东莞市,广东省
STN_东莞南,东莞市,广东省
